A00088,3,3,2,2,4,3,3,4
A04204,3,4,3,4,4,4,3,3
A04378,2,4,4,4,3,4,3,3
A04830,3,5,5,3,4,5,5,5
A05946,2,1,3,3,5,3,4,3
A06667,4,5,4,4,3,5,4,6
A08755,4,3,3,2,3,4,5,5
A100934,1,2,2,5,4,2,4,2
A103291,3,3,2,3,3,3,4,2
A105398,5,5,5,3,4,2,3,2
A106835,3,3,4,4,2,5,2,3
A118391,4,5,5,5,3,3,3,3
A121664,4,4,2,4,5,2,4,3
A124923,3,3,3,5,4,5,3,2
A125688,4,5,5,4,5,3,3,5
A127324,4,5,4,4,4,3,3,3
A127838,5,4,5,2,4,3,4,3
A128723,4,4,3,5,2,4,5,4
A131826,3,4,4,3,4,2,3,2
A132981,2,2,2,4,4,3,5,1
A138113,3,3,4,4,3,3,3,1
A141988,4,4,4,3,3,4,4,4
A143104,4,5,5,3,5,6,3,5
A143106,4,4,3,4,2,3,6,4
A145480,4,3,4,4,3,4,2,2
A146981,3,3,3,3,3,4,4,6
A151684,4,4,4,4,2,3,4,5
A155369,3,3,3,2,3,5,2,3
A156174,2,3,3,2,4,3,4,4
A156547,2,3,2,2,6,2,3,2
A159743,3,2,5,3,3,3,3,5
A163731,2,2,3,3,4,4,4,4
A165071,3,4,3,3,3,3,4,3
A166320,3,4,2,5,3,5,3,3
A166877,2,2,1,5,4,2,3,2
A169002,4,4,4,3,4,5,3,4
A170090,4,4,5,5,1,3,5,5
A175625,5,5,4,4,3,5,5,6
A176270,2,1,2,6,2,4,4,3
A17652,5,3,2,4,4,4,3,4
A177150,3,4,2,3,4,3,4,4
A178778,3,3,4,4,4,3,5,3
A184694,4,3,4,4,2,4,4,6
A199560,3,2,4,4,3,3,2,5
A202517,3,5,3,1,6,3,3,2
A206123,5,4,4,3,2,6,3,5
A212257,3,3,3,4,2,5,3,2
A213804,2,3,3,3,4,3,2,2
A219935,5,4,4,5,4,6,5,5
A223123,3,3,2,5,3,4,5,4
A224018,3,3,4,3,4,3,4,4
