5599,35621,Eva,AL,Morgan
2737,32446,Marianna,FL,Jackson
1297,57110,Sioux Falls,SD,Minnehaha
5181,56072,New Richland,MN,Waseca
30,23181,West Point,VA,King William
3476,74423,Braggs,OK,Muskogee
4224,44086,Thompson,OH,Geauga
7190,22641,Strasburg,VA,Shenandoah
238,32404,Panama City,FL,Bay
5016,56362,Paynesville,MN,Stearns
3252,39326,Daleville,MS,Lauderdale
5644,32707,Casselberry,FL,Seminole
6398,53235,Saint Francis,WI,Milwaukee
826,51442,Denison,IA,Crawford
3860,51250,Sioux Center,IA,Sioux
7188,35811,Huntsville,AL,Madison
8149,92225,Blythe,CA,Riverside
4377,46957,Matthews,IN,Grant
1538,22726,Lignum,VA,Culpeper
6937,65345,Mora,MO,Pettis
3419,55103,Saint Paul,MN,Ramsey
5358,48159,Maybee,MI,Monroe
2453,69122,Big Springs,NE,Deuel
5959,74363,Quapaw,OK,Ottawa
5680,32426,Campbellton,FL,Jackson
2768,16333,Ludlow,PA,McKean
4554,71662,Pickens,AR,Desha
7167,26690,Swiss,WV,Fayette
7569,44062,Middlefield,OH,Geauga
4867,50606,Arlington,IA,Fayette
8562,67355,Niotaze,KS,Chautauqua
8189,2584,Nantucket,MA,Nantucket
6465,41017,Ft Mitchell,KY,Kenton
3673,72760,Saint Paul,AR,Madison
4705,12208,Albany,NY,Albany
6654,5043,East Thetford,VT,Orange
630,2468,Waban,MA,Middlesex
4095,2138,Cambridge,MA,Middlesex
7838,68164,Omaha,NE,Douglas
8555,16878,West Decatur,PA,Clearfield
5160,40360,Owingsville,KY,Bath
2858,68132,Omaha,NE,Douglas
4899,20228,Washington,DC,District of Columbia
8581,18504,Scranton,PA,Lackawanna
723,35074,Green Pond,AL,Bibb
2489,36265,Jacksonville,AL,Calhoun
4577,66422,Emmett,KS,Pottawatomie
5839,53034,Hustisford,WI,Dodge
5408,51552,Marne,IA,Cass
4437,62243,Freeburg,IL,St. Clair
4102,58746,Kenmare,ND,Ward
1602,95932,Colusa,CA,Colusa
5152,60460,Odell,IL,Livingston
5162,74344,Grove,OK,Delaware
2494,26534,Granville,WV,Monongalia
5707,24069,Cascade,VA,Pittsylvania
5473,51466,Wall Lake,IA,Sac
6162,49046,Delton,MI,Barry
7104,32444,Lynn Haven,FL,Bay
4655,53555,Lodi,WI,Columbia
4590,56565,Nashua,MN,Wilkin
3791,74748,Kenefic,OK,Johnston
2611,29564,Lane,SC,Williamsburg
3083,48322,West Bloomfield,MI,Oakland
7218,63937,Ellsinore,MO,Butler
6711,99769,Savoonga,AK,Nome
4504,87102,Albuquerque,NM,Bernalillo
140,3464,Stoddard,NH,Cheshire
7271,30153,Rockmart,GA,Polk
6149,43972,Bannock,OH,Belmont
499,48111,Belleville,MI,Wayne
5894,28031,Cornelius,NC,Mecklenburg
1670,20607,Accokeek,MD,Prince George's
3135,28785,Waynesville,NC,Haywood
7317,58231,Fordville,ND,Walsh
7986,37847,Pioneer,TN,Scott
7268,15122,West Mifflin,PA,Allegheny
5929,47612,Cynthiana,IN,Posey
2853,92078,San Marcos,CA,San Diego
7751,52171,Waucoma,IA,Winneshiek
